id,userID,created_at,full_text,favorite_count,retweet_count
1648404147283329028,BRKsEDU,2023-04-18 19:12:29+00:00,"@Sales94331061 @LulaOficial Diminuição de imposto em games (e em diversos outros produtos e serviços) seria excelente. Mas o problema mesmo é o poder de compra do brasileiro, que é baixíssimo. E pra aumentar o poder de compra o país precisa gerar mais riqueza = precisa de mais educação e produtividade.",1599,31
1648402852824645638,BRKsEDU,2023-04-18 19:07:20+00:00,E vou aproveitar pra indicar um jogo incrível que tem amor como tema central: Last Day of June. https://t.co/FiasNZ98FC,3840,123
1648402547600941057,BRKsEDU,2023-04-18 19:06:07+00:00,"De fato crianças não devem passar tempo excessivo com games. O tempo de tela, tanto com jogos quanto com desenhos, filmes e seriados, deve ser controlado pelos pais - video games inclusive disponibilizam controle parental, pra facilitar a vida dos pais.",3531,132
1648402472677912579,BRKsEDU,2023-04-18 19:05:49+00:00,"Caro Presidente @LulaOficial - nem todo jogo é violento. Games ajudam no desenvolvimento de coordenação motora, raciocínio e aquisição de linguagem, e existem jogos para todas as idades. O Min. da Justiça dá a Classificação Indicativa de jogos aqui: https://t.co/YFOSzVubvR",17747,1977
1644820236749635591,BRKsEDU,2023-04-08 21:51:18+00:00,@MarioThael Muito obrigado!!! Quem editou foi o @Rodrigoholter - trilha foi ele que escolheu com um pitaco meu haha,4,1
1644800548812587008,BRKsEDU,2023-04-08 20:33:04+00:00,@V_JuniorR Valeu,1,0
1644800516403126274,BRKsEDU,2023-04-08 20:32:56+00:00,@vinossauro Sim e sim 😀,3,0
1644800453090091011,BRKsEDU,2023-04-08 20:32:41+00:00,@vsouzaduart Muito obrigado!!!,1,0
1644789241619120133,BRKsEDU,2023-04-08 19:48:08+00:00,"Acabei de publicar no canal minha crítica ao filme do Mario! Primeira vez que faço um vídeo de crítica / análise de um filme... mas não tinha como eu não fazer esse vídeo, né?

Eu particularmente curti muito o filme, espero que ele faça muito sucesso (como já tá fazendo)! https://t.co/lwEcfSPRFu",768,22
1644526518608220167,BRKsEDU,2023-04-08 02:24:10+00:00,@SaikoMene @PaiTroll_ https://t.co/4GLT4IYOUW,289,1
1644472004165206025,BRKsEDU,2023-04-07 22:47:33+00:00,"@SaikoMene @PaiTroll_ Sim, mas com você ninguém se importa, né?",1736,34
1644341152206794753,BRKsEDU,2023-04-07 14:07:35+00:00,@andr3huayra Hahahaha vou assistir hoje e ainda hoje elaborar e gravar meu vídeo!,66,0
1644340895070711809,BRKsEDU,2023-04-07 14:06:34+00:00,"Mega feliz de ter sido reconhecido pelo YouTube como um criador de Mario! Apareci no vídeo especial de 100 bilhões de views do Mario... foi por um instantezinho, mas o suficiente pra me deixar super satisfeito com o reconhecimento! @PaiTroll_ apareceu lá também com mais destaque! https://t.co/UTFtBsJy0Y",3738,68
1644096545598455812,BRKsEDU,2023-04-06 21:55:36+00:00,Vídeo novo no canal... Nintendo 3DS como você nunca viu!!! Bora lá conferir! https://t.co/7D3k9gS5Di,213,3
1643631986613923844,BRKsEDU,2023-04-05 15:09:37+00:00,@RawFury Aqui algumas imagens do game já com a tradução! https://t.co/qQjq0sFb15,119,3
1643631642504724480,BRKsEDU,2023-04-05 15:08:15+00:00,"Galera, recebi com exclusividade uma notícia bem bacana: o jogo Cassette Beasts, da @RawFury, que envolve capturar e colecionar monstros, vai ser traduzido pra Português! E a demo do game na Steam foi atualizada e já tá com a tradução pra PT-BR! https://t.co/1sfdtOvlra",318,14
