id,userID,created_at,full_text,favorite_count,retweet_count
1652107898305011714,Cellbit,2023-04-29 00:29:52+00:00,@Quackity oi,4423,248
1652062724510175235,Cellbit,2023-04-28 21:30:22+00:00,reencontrando um velho amigo https://t.co/NtJyzwRF9c,34934,4087
1652024225513758720,Cellbit,2023-04-28 18:57:23+00:00,"@livesdocellbit vi os argumentos do pessoal, falei com a editora, um update: https://t.co/U0L9Whfq14",5845,762
1646187917507801088,Cellbit,2023-04-12 16:25:58+00:00,@spot_desenhador canon,7100,496
1644048620897857554,Cellbit,2023-04-06 18:45:10+00:00,"@Little_No_One @OrdemParanormal não é essa! 

essa é a adatapção da primeira temporada em versão física.

a webcomic de Enigma do Medo é algo bem mais simples, que vai ser enviado junto com o lançamento do jogo",1502,28
1638136315270053888,Cellbit,2023-03-21 11:11:47+00:00,o personagem de Ordem que eu mais escrevi sobre nos últimos 3 anos nunca foi mencionado até hoje https://t.co/EvazneQCjR,29755,1601
1633689544376688641,Cellbit,2023-03-09 04:41:54+00:00,@gabicattuzzo ?????,10155,139
1633526191150751745,Cellbit,2023-03-08 17:52:48+00:00,"@makotices Oi, tudo bem? vi sua postagem e algumas das suas respostas aqui e acredito que tem algumas coisas que eu posso pontuar aqui. (logo de cara, foi mal o textão, tentei falar sobre tudo que você mencionou nas respostas)

Assim como qualquer pessoa, o Ordem é um projeto que evolui com… https://t.co/NyHfgXKIzG",10340,741
1632048837169758208,Cellbit,2023-03-04 16:02:19+00:00,@TwitchBR ❤️,3701,75
1621599043964096514,Cellbit,2023-02-03 19:58:34+00:00,@DickIsANoodle @Mary_MS_Jay sim,966,2
1621598387308052481,Cellbit,2023-02-03 19:55:58+00:00,"@Mary_MS_Jay não tem regra específica pra isso no sistema, mas o lore permite sim

as comidas de santo berço eram hipnóticas por maldição de conhecimento (assim como o ambiente)

dá pra usar sangue pra intensificar sentimentos e prazeres pela comida

um café amaldiçoado com morte ia ser zica",11111,264
