full_text,created_at,id
@BRKsEDU @PaiTroll_ O saiko kkkkkk,2023-04-09 20:50:39+00:00,1645167359957639173
"@BRKsEDU @PaiTroll_ Tá, mas....
Que Mário?",2023-04-09 20:45:44+00:00,1645166126655995907
@BRKsEDU @PaiTroll_ Como? Como o wilsu n tá aí???? O MALUCO É LITERALMENTE O MÁRIO PAULISTA,2023-04-09 17:19:54+00:00,1645114326313836545
@BRKsEDU @PaiTroll_ @smg4official  apareceu ali tbm!,2023-04-09 15:52:28+00:00,1645092321967448068
"@BRKsEDU @PaiTroll_ Queria evitar de falar isso mas não pude resistir .
Nintendo vendo isso pronta para dar strike em todos: Finalmente......FINALMENTE TENHO TODOS!!.",2023-04-08 22:32:26+00:00,1644830587281186819
@BRKsEDU @PaiTroll_ Que Mário?,2023-04-08 14:23:16+00:00,1644707486157381633
@BRKsEDU @PaiTroll_ Vivi o suficiente pra ver a nintendo valorizando criador de conteúdo dos jogos dele🙏 amém,2023-04-08 11:52:07+00:00,1644669447888666624
"@BRKsEDU @PaiTroll_ Merece muito reconhecido em quesito de Mario, Edu. Teve uma época que eu só via tuas lives de Mario kart.",2023-04-08 04:34:03+00:00,1644559205896945666
"@BRKsEDU @PaiTroll_ Parabéns, Dudu! Merecido!!!",2023-04-08 01:50:24+00:00,1644518022198054914
@BRKsEDU @PaiTroll_ q mario?,2023-04-08 01:30:16+00:00,1644512952156844038
@BRKsEDU @PaiTroll_ Furious tbm tá né?,2023-04-08 01:30:15+00:00,1644512948155498497
"@BRKsEDU @PaiTroll_ po, e o NintendoFan e o Guioss??????",2023-04-07 23:50:26+00:00,1644487831589466114
"@BRKsEDU @PaiTroll_ Edu que foda, mas vc tá falando de que mario?",2023-04-07 23:32:50+00:00,1644483402823790593
"@BRKsEDU @PaiTroll_ Os dois melhores canais que trazem conteúdo de Mario aqui no Brasil, parabéns !",2023-04-07 22:43:07+00:00,1644470888694272002
"@BRKsEDU @davidobacon @PaiTroll_ Só não usa musica do Mario nos videos, pois se não é strike certo.. kkkkkkkk",2023-04-07 22:21:17+00:00,1644465392880959489
"@BRKsEDU @PaiTroll_ N sei oq é mais retardado, a falta do GuiOss ou a presença do SiIva Gunner",2023-04-07 21:30:15+00:00,1644452552447246336
@BRKsEDU @PaiTroll_ Guilherme oss merecia estar ai,2023-04-07 21:18:25+00:00,1644449575468498944
@BRKsEDU @PaiTroll_ pera mas cadê o @guilhermeoss ???????????????????????,2023-04-07 21:08:23+00:00,1644447049968918531
@BRKsEDU @PaiTroll_ uma tremenda sacanagem o @guilhermeoss não estar nessa lista,2023-04-07 21:00:39+00:00,1644445103434665987
"@BRKsEDU @PaiTroll_ oia, eu apareci tambein, q legau 🤓🤌 https://t.co/5zEsuHhBOr",2023-04-07 20:33:46+00:00,1644438339414552588
@BRKsEDU @PaiTroll_ O SAIKO KKKKKKKKKKKKK NEM FUDENDO,2023-04-07 15:54:24+00:00,1644368034151256065
@BRKsEDU @PaiTroll_ Merecido demais!!!,2023-04-07 15:27:20+00:00,1644361223075504128
"@BRKsEDU @PaiTroll_ Parabéns! Seu conteúdo, personalidade, conhecimento e várias outras características são sensacionais! Um abração",2023-04-07 15:27:00+00:00,1644361137562034179
@BRKsEDU @PaiTroll_ olha o cabeça gravida ali na direita kkkkk,2023-04-07 14:57:22+00:00,1644353677585534976
@BRKsEDU @PaiTroll_ Top de mais…,2023-04-07 14:53:46+00:00,1644352775491297280
@BRKsEDU Parabéns cara,2023-04-07 14:47:50+00:00,1644351279341223938
@BRKsEDU @Core__Core @PaiTroll_ O Saiko ali!!!! 😱😱😱😱😱,2023-04-07 14:40:24+00:00,1644349410220834817
"@BRKsEDU @PaiTroll_ Merecidos! Parabéns aos dois criadores, acompanho, sigo e torço por vocês sempre",2023-04-07 14:36:26+00:00,1644348411632648193
@BRKsEDU @PaiTroll_ Por que choras @CdNLeon,2023-04-07 14:25:50+00:00,1644345742088347648
@BRKsEDU @PaiTroll_ Mais que merecido,2023-04-07 14:25:13+00:00,1644345587096076290
@BRKsEDU @PaiTroll_ O Saiko KKKKKKKKKKKKKKKKKKKKKKKKKkk,2023-04-07 14:19:57+00:00,1644344264178950146
@BRKsEDU @PaiTroll_ O saiko apareceu tbm ksksksksks nem fodendo,2023-04-07 14:13:33+00:00,1644342652559671298
"@BRKsEDU @PaiTroll_ Já viu o filme, Edu? Tá incrível, seria bem legal um vídeo seu sobre ☺️",2023-04-07 14:10:30+00:00,1644341886277107721
@BRKsEDU @PaiTroll_ No topo Dudu,2023-04-07 14:10:17+00:00,1644341831252037633
@BRKsEDU @PaiTroll_ Boa Edu. Você é fera,2023-04-07 14:08:31+00:00,1644341386013974530
"@BRKsEDU @PaiTroll_ top demais, edu",2023-04-07 14:08:07+00:00,1644341283689824256
@BRKsEDU @PaiTroll_ Parabéns,2023-04-07 14:07:04+00:00,1644341021193412608
