full_text,created_at,id
@BRKsEDU @SaikoMene @PaiTroll_ Edu tá ficando desumilde,2023-04-09 21:13:08+00:00,1645173020581851139
@BRKsEDU @SaikoMene @PaiTroll_ Edu ?,2023-04-08 04:32:14+00:00,1644558746423631873
@BRKsEDU @SaikoMene @PaiTroll_ O edu tá certo,2023-04-08 03:25:35+00:00,1644541972965646338
@BRKsEDU @SaikoMene @PaiTroll_ TOMO DE GRAÇA KKKKKKKKK,2023-04-08 02:55:30+00:00,1644534402385424384
@BRKsEDU @SaikoMene @PaiTroll_ KAXKAKX,2023-04-08 02:54:11+00:00,1644534070838194176
@BRKsEDU @SaikoMene @PaiTroll_ @AquelerMeninoLa,2023-04-08 02:19:49+00:00,1644525423978598405
@BRKsEDU @SaikoMene @PaiTroll_ tomoulis,2023-04-08 02:11:46+00:00,1644523399803203585
@BRKsEDU @SaikoMene @PaiTroll_ https://t.co/qnUywW5Un7,2023-04-08 01:53:40+00:00,1644518842712899585
@BRKsEDU @SaikoMene @PaiTroll_ Te amo BRKsEDU te amooooo,2023-04-08 00:41:13+00:00,1644500611197485062
@BRKsEDU @SaikoMene @PaiTroll_ KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,2023-04-08 00:05:25+00:00,1644491601081761792
@BRKsEDU @SaikoMene @PaiTroll_ https://t.co/4s0F5nCjR0,2023-04-08 00:04:16+00:00,1644491312429760519
@BRKsEDU @SaikoMene @PaiTroll_ Kkkkkkkkkkaray,2023-04-07 23:57:10+00:00,1644489524322484224
@BRKsEDU @SaikoMene @PaiTroll_ https://t.co/ywfcafMJe0,2023-04-07 23:38:43+00:00,1644484880816914432
@BRKsEDU @PaiTroll_ ta com raiva pq nao consegue passar minhas fase no mario maker,2023-04-07 23:30:32+00:00,1644482824047587330
@BRKsEDU @SaikoMene @PaiTroll_ é verdade https://t.co/1pYiMsCTgu,2023-04-07 23:29:46+00:00,1644482628530126849
@BRKsEDU @SaikoMene @PaiTroll_ tramontina corte gratuito,2023-04-07 23:24:47+00:00,1644481376865984512
@BRKsEDU @SaikoMene @PaiTroll_ https://t.co/uUYniwbZOl,2023-04-07 23:23:13+00:00,1644480981405933568
@BRKsEDU @SaikoMene @PaiTroll_ Oh lapada seca,2023-04-07 23:13:57+00:00,1644478648966168581
@BRKsEDU @SaikoMene @PaiTroll_ https://t.co/GskOOPn6CM,2023-04-07 23:11:53+00:00,1644478127148605445
@BRKsEDU @SaikoMene @PaiTroll_ eita porra,2023-04-07 23:10:49+00:00,1644477859065364480
@BRKsEDU @SaikoMene @PaiTroll_ que lapada,2023-04-07 23:03:33+00:00,1644476031653367809
@BRKsEDU @SaikoMene @PaiTroll_ https://t.co/Q0nqFWgelK,2023-04-07 23:03:23+00:00,1644475987801899009
@BRKsEDU @SaikoMene @PaiTroll_ tome,2023-04-07 22:59:43+00:00,1644475066804064258
@BRKsEDU @SaikoMene @PaiTroll_ crl edu KKKKKKKK,2023-04-07 22:57:16+00:00,1644474452426596360
@BRKsEDU @SaikoMene @PaiTroll_ @ThomioBeyond,2023-04-07 22:57:03+00:00,1644474397028229120
"@BRKsEDU @SaikoMene @PaiTroll_ E tome saiko, tomou de graça",2023-04-07 22:56:23+00:00,1644474226970177536
@BRKsEDU @SaikoMene @PaiTroll_ kkkkkkk pisando no kokoseco,2023-04-07 22:53:31+00:00,1644473508536414208
@BRKsEDU @SaikoMene @PaiTroll_ https://t.co/faLILznUxs,2023-04-07 22:49:39+00:00,1644472534010658816
@BRKsEDU @SaikoMene @PaiTroll_ https://t.co/tve9VPLyeS,2023-04-07 22:49:36+00:00,1644472520358219778
@BRKsEDU @SaikoMene @PaiTroll_ Que isso dudu,2023-04-07 22:49:24+00:00,1644472472731807744
@BRKsEDU @SaikoMene @PaiTroll_ Não deixava 🙈,2023-04-07 22:49:10+00:00,1644472413126643713
"@BRKsEDU @SaikoMene @PaiTroll_ Ninguém liga 
Bife nunca deveria ter saindo do jogandofodacci 🥺🥺🥺",2023-04-07 22:49:04+00:00,1644472386090340352
