full_text,created_at,id
@BRKsEDU https://t.co/k7wBkZahC8,2023-04-14 12:36:30+00:00,1646854945453363201
"@BRKsEDU Amei seu vídeo Edu!
Ainda mais porque acompanhei vários vídeos seus de Mário! Imagino sua felicidade ao ver o filmeN🍄❤️",2023-04-12 00:26:20+00:00,1645946416873734148
@BRKsEDU Não chamando o mário de wesker pra mim já tá bom kkkkk (zueira),2023-04-10 23:16:55+00:00,1645566560373817350
"@BRKsEDU Nossa infância, adolescência, adulta e velhice. Espero também que faça muito sucesso.",2023-04-09 11:37:50+00:00,1645028239566417922
@BRKsEDU Era bom vim a sequência,2023-04-09 00:04:54+00:00,1644853857187405828
"@BRKsEDU O filme é uma obra de arte em cima de uma história muito simples. A trilha sonora, a ambientação, as referências, o humor. Os personagens são absurdamente carismáticos, eu não consigo parar de rir da Luma. Gostei demais.",2023-04-08 22:49:44+00:00,1644834944248696837
"@BRKsEDU A distribuição das músicas da franquia ao longo do vídeo ficou sensacional 😍
Excelente conteúdo, edição linda!",2023-04-08 21:35:52+00:00,1644816354665455616
@BRKsEDU Ai muai vuaida voi assistui brksesdu ✌🏻🥹,2023-04-08 21:05:09+00:00,1644808622831030273
"@BRKsEDU Poxa, Edu, eu acredito que críticas suas de obras de filmes/séries de jogos encaixam perfeitamente com o conteúdo atual que vc cria, se eu fosse vc, faria com mais frequência vídeos desse estilo pra games 😊",2023-04-08 20:39:39+00:00,1644802206212784128
@BRKsEDU Já estou indo deixar meu like e comentário. ❤️,2023-04-08 20:05:26+00:00,1644793596007030784
@BRKsEDU Ficou top a Crítica/Analise!!! Irei essa semana ver o filme. Vou ver dublado em PTBR. Obrigado Eduuu!,2023-04-08 20:04:40+00:00,1644793400959311873
"@BRKsEDU ainda não assisti ao vídeo, mas vc levou a baby sapeca? Ela gostou tbm?",2023-04-08 19:57:31+00:00,1644791604639612930
"@BRKsEDU Ué, Edu? Você não tinha morrido? O ChatGPT disse...",2023-04-08 19:49:22+00:00,1644789551238377476
