full_text,created_at,id
@cellbit @spot_desenhador @znowzx2,2023-04-13 22:21:00+00:00,1646639651690631171
@cellbit @spot_desenhador @IvNoven,2023-04-13 20:05:12+00:00,1646605477395025941
@cellbit @spot_desenhador Uuuuuu,2023-04-13 12:56:17+00:00,1646497536000098311
"@cellbit @spot_desenhador Oficialmente perdeu a cabeça
(head)",2023-04-13 04:07:54+00:00,1646364564450050048
@cellbit @spot_desenhador @oliverzitu hahahha,2023-04-13 02:33:15+00:00,1646340742455984135
@cellbit @spot_desenhador ISSO VOCE CANONIZA NE,2023-04-13 00:00:21+00:00,1646302263864958978
@cellbit @spot_desenhador nem fodendo,2023-04-12 23:08:45+00:00,1646289279587319811
@cellbit @spot_desenhador @gabrielgraetz,2023-04-12 22:10:18+00:00,1646274568297013249
@cellbit @spot_desenhador Ganhamo,2023-04-12 22:06:11+00:00,1646273534463729664
@cellbit @spot_desenhador @shockingboy_ @PrismaRspaberry,2023-04-12 21:32:56+00:00,1646265164595961856
@cellbit @spot_desenhador a vida é feita de pequenas conquistas pequenas vitórias do dia-a-dia,2023-04-12 21:32:17+00:00,1646265004046336005
@cellbit @spot_desenhador @DimoNhadimo confirmado,2023-04-12 20:54:23+00:00,1646255466559815682
@cellbit @spot_desenhador @_guiltyin,2023-04-12 20:47:20+00:00,1646253692457218048
@cellbit @spot_desenhador @Alison_com_1_s,2023-04-12 20:05:47+00:00,1646243235164041231
@cellbit @spot_desenhador @Tyros_Moss,2023-04-12 19:49:53+00:00,1646239235089874945
"@cellbit @spot_desenhador @OrdemWiki 
Hora de atualizar a página da Ágatha pessoal!",2023-04-12 19:43:13+00:00,1646237553782030337
"@cellbit @spot_desenhador O cara aparece no tt uma vez por mês pra falar isso

Incrí",2023-04-12 19:26:08+00:00,1646233254603702274
@cellbit @spot_desenhador Se o celbo falou tá falado,2023-04-12 19:17:00+00:00,1646230959182708743
@cellbit @OrdemWiki coloca aí na wiki,2023-04-12 19:16:11+00:00,1646230753548566625
@cellbit @spot_desenhador OK FDS TE AMO CELLBIT OBRIGADO,2023-04-12 19:02:30+00:00,1646227307080687617
@cellbit @spot_desenhador Sabe MUITO,2023-04-12 18:51:33+00:00,1646224551137918977
@cellbit @spot_desenhador @don1cos,2023-04-12 18:39:28+00:00,1646221512440188928
@cellbit @spot_desenhador YESSSSSS,2023-04-12 18:26:21+00:00,1646218212227551232
@cellbit @spot_desenhador Boneco da agatha no roblox https://t.co/cFTC9EVwh0,2023-04-12 18:26:13+00:00,1646218176567599105
"@cellbit @spot_desenhador Cadê meus manos da @OrdemWiki, pra botar isso nas curiosidades da personagem? https://t.co/Nn0xb7Uk5a",2023-04-12 18:23:37+00:00,1646217522008535043
@cellbit @spot_desenhador É REAL,2023-04-12 18:10:26+00:00,1646214205819740160
@cellbit @spot_desenhador Se tu diz tá dizido,2023-04-12 18:05:51+00:00,1646213050343604244
@cellbit @spot_desenhador @belyarts KKAHEAJAAJA,2023-04-12 18:04:17+00:00,1646212658734022671
@cellbit @spot_desenhador @meansred07,2023-04-12 17:57:28+00:00,1646210943012028452
@cellbit @spot_desenhador https://t.co/Bp636fuCZk,2023-04-12 17:55:11+00:00,1646210367733874709
"@cellbit @spot_desenhador LET'S
FUCKING
GOOOOOOOOOOOOOO",2023-04-12 17:28:48+00:00,1646203730470092825
@cellbit @OrpheuArt @spot_desenhador @jirassor2 se ele falou ne,2023-04-12 17:27:33+00:00,1646203414626418706
@cellbit @spot_desenhador eu te amo,2023-04-12 17:23:58+00:00,1646202513102716940
@cellbit @spot_desenhador CANON CANON CANON,2023-04-12 17:20:00+00:00,1646201512530526209
@cellbit @spot_desenhador fofo,2023-04-12 17:17:03+00:00,1646200772168761346
@cellbit @spot_desenhador 200% canon,2023-04-12 17:08:51+00:00,1646198707837190169
@cellbit @spot_desenhador Então ela é Devil May Cry fag? Se sim o favorito dela é o definitive edition né?(o mais edgy de todos).,2023-04-12 17:07:28+00:00,1646198361219903488
@cellbit @spot_desenhador @Melovrz cannon,2023-04-12 17:04:32+00:00,1646197620539375649
@cellbit @spot_desenhador @CuteAmity_ @jghioru POGGERS,2023-04-12 17:04:19+00:00,1646197566265085952
@cellbit @spot_desenhador Uma vitória pra quem ama o shadow (eu,2023-04-12 17:04:09+00:00,1646197525408251904
@cellbit @spot_desenhador MDS PENSEI Q ERA MENTIRA,2023-04-12 16:54:48+00:00,1646195171531300870
@cellbit @spot_desenhador MANO,2023-04-12 16:53:47+00:00,1646194916870045705
@cellbit @spot_desenhador @NekolinC,2023-04-12 16:51:56+00:00,1646194450979336192
@cellbit @spot_desenhador @teff696,2023-04-12 16:40:56+00:00,1646191683338485766
