full_text,created_at,id
@LoiraNoob @caiporando_,2023-04-23 00:00:46+00:00,1649926248620081154
@LoiraNoob ue,2023-04-17 22:47:55+00:00,1648095977599905792
"@LoiraNoob Vc é a melhor no que vc faz, segue seu coração e não dê atenção aos comentários negativos, infelizmente ainda existem pessoas que torcem contra o crescimento de ambos, que n tá ali pra te apoiar mais pra te ver cair, vc é incrível e n deve nd a ninguém 🍂🫰🏽🧡💚",2023-04-17 21:11:08+00:00,1648071619904978946
@LoiraNoob Entendido diva.... e quem não entender me avisa que eu com uma paulada na cabeça faço entender rapidinho,2023-04-17 20:59:45+00:00,1648068756415938567
@LoiraNoob ixi @LoiraNoob dona de de fac ? Será 👀👀,2023-04-17 20:52:36+00:00,1648066956241633284
@LoiraNoob Fds,2023-04-17 18:06:41+00:00,1648025202536718336
"@LoiraNoob gg Malena nos LRJ, bora chefe @loud_gabepeixe",2023-04-17 17:31:12+00:00,1648016272980934656
@LoiraNoob Tem muita gente com mto ACHISMO nesse mundo de RP… não acompanha você e fala o que não deve! Seu RP é foda independente de qual cidade esteja!,2023-04-17 17:18:50+00:00,1648013158785622021
"@LoiraNoob Vc está correta malena. Novos ares , prezar sempre pela saúde mental  🧡🔥",2023-04-17 16:41:49+00:00,1648003844377288711
@LoiraNoob RP de PM no cpx? É difícil viu,2023-04-17 16:40:51+00:00,1648003599136333824
@LoiraNoob Sorry a piada com algo que aparenta ser um problema sério no momento pra você.,2023-04-17 16:34:34+00:00,1648002021344116736
"@LoiraNoob Fazia tempo que não via você se acabando de rir como ontem, já prova que fez o melhor.",2023-04-17 16:34:25+00:00,1648001981275840532
@LoiraNoob É super sim. Pq eu não tenho o contexto kkkkk só siglas loucas kkkk 🤪,2023-04-17 16:34:08+00:00,1648001909624537089
"To colando no CPX pra dar continuidade em uma parada que eu gosto muito que é o RP de PM. 

Uma coisa não anula a outra.

Sigo no CDA, porém agora tbm colando no CPX.

Não é tão difícil de entender ;)",2023-04-17 16:32:00+00:00,1648001375354204160
