full_text,created_at,id
@LoiraNoob Auau kkkk eu amo a Paty,2023-04-23 17:36:22+00:00,1650191897388892161
"@LoiraNoob Esse RP de gringa tá muito foda parabéns, é bom as vezes fazer algo diferente e sair da bolha ,tenho certeza que vc vai se divertir muito",2023-04-18 12:54:18+00:00,1648308976596008963
@LoiraNoob A PATY NO FINAL AKAKAKKAKAKAKAKAKAKKAKAKAKKAKAKA,2023-04-18 12:46:28+00:00,1648307002915864577
@LoiraNoob au auuu!,2023-04-18 05:59:07+00:00,1648204490607144960
@LoiraNoob O 'auau' da Paty no final me quebrou https://t.co/7LyhOMYFIt,2023-04-18 03:15:36+00:00,1648163338910588930
@LoiraNoob Porque não tenho acho estranho essa escolha?,2023-04-18 02:15:49+00:00,1648148297880678403
@LoiraNoob Eu não acredito que eu quero voltar a assistir rp kkkkkkkkk,2023-04-18 02:09:58+00:00,1648146823075307521
@LoiraNoob @Ranoroxa as produções dos estúdios globe estão a todo vapor hein?,2023-04-18 00:53:32+00:00,1648127590631190528
@LoiraNoob KKKKKKKKKKKKKKKKK O LATIDO EU AMO A PATY CARA KKKKKKKKK,2023-04-18 00:36:39+00:00,1648123338131111937
@LoiraNoob Vem aí!!!! Auau,2023-04-17 23:34:21+00:00,1648107662943330304
@LoiraNoob Au au hahahahahhaha que dubla! 🤩🤩,2023-04-17 23:08:15+00:00,1648101091123314688
@LoiraNoob Vem aí?.🔥🔥,2023-04-17 23:03:52+00:00,1648099991200645120
@LoiraNoob A personagem fala com sotaque tbm ?,2023-04-17 23:03:07+00:00,1648099799437123584
"@LoiraNoob Au au, Mariah veio com tudo prrr e juntos com as melhores né, amassa!",2023-04-17 22:51:34+00:00,1648096893753257990
@LoiraNoob #MalenaNaDragons,2023-04-17 22:35:10+00:00,1648092768026099712
@LoiraNoob Au au kkkkkkkkkkkkkkkkkkkkkkkkkkkk,2023-04-17 22:32:32+00:00,1648092105561047051
"@LoiraNoob Auau da paty ou o teu sotaque, o que é melhor? Kkkkkkk",2023-04-17 22:19:48+00:00,1648088899137290249
@LoiraNoob Au au kkkkkkkkkkkk,2023-04-17 22:16:22+00:00,1648088038029811720
@LoiraNoob Quem ja decorou as falas? Me: au.u auu,2023-04-17 22:16:22+00:00,1648088037543358466
"@LoiraNoob Ukêeee? As reliquias do TEATRINHOS juntas? Roleplay? Historinhas? Se for um sonho, não me acorde!",2023-04-17 22:15:54+00:00,1648087919796658178
@LoiraNoob 😻😻🗣🗣,2023-04-17 22:11:52+00:00,1648086904229830657
@LoiraNoob AU AUAH,2023-04-17 22:00:52+00:00,1648084135766814722
@LoiraNoob mulher pq não tem seu canal no roxo no seu tt?,2023-04-17 21:59:02+00:00,1648083673227427847
"@LoiraNoob Baby que morde PM eu tiamo!
Digo, AU AAAAU
@Paty__Landim",2023-04-17 21:57:53+00:00,1648083384910880768
"@LoiraNoob AU AAAAAUU

AHIUDHASUIDHSAIUDHASIU",2023-04-17 21:57:47+00:00,1648083359682162688
@LoiraNoob Au au kkkkkkk muito bom,2023-04-17 21:57:19+00:00,1648083241721556993
@LoiraNoob O que vai ter policial que saiu querendo fazer esse rp kkkkkk,2023-04-17 21:50:03+00:00,1648081414510739456
@LoiraNoob o melhor do teaser é o seu sotaque malena,2023-04-17 21:49:23+00:00,1648081245237067778
@LoiraNoob O latido no finallllll KSKSKSKSKSK,2023-04-17 21:48:01+00:00,1648080901669109761
@LoiraNoob AU AU,2023-04-17 21:46:12+00:00,1648080443005083650
@LoiraNoob Quebrei no au auuuuu,2023-04-17 21:46:03+00:00,1648080405684264963
"@LoiraNoob Kkk o au au quebrou🥰. Ansiosa para o ""vem aí"".",2023-04-17 21:46:02+00:00,1648080404102930434
@LoiraNoob Ma le naaaaaaaaaaaa❤️,2023-04-17 21:44:23+00:00,1648079989273665537
@LoiraNoob Au au KKKKKKKKk Paty lenda,2023-04-17 21:44:21+00:00,1648079976971763712
"@LoiraNoob Depois deste cloooose na dog, se não tivesse um au au eu ia militar nas redesnsociais",2023-04-17 21:44:20+00:00,1648079976573419522
@LoiraNoob Au au kkkkkkkkkkkkkk,2023-04-17 21:44:07+00:00,1648079922336808962
@LoiraNoob Au au kkkkkkkkk boraaaaa,2023-04-17 21:43:54+00:00,1648079864560250882
@LoiraNoob Au auuuu,2023-04-17 21:43:48+00:00,1648079842296864768
@LoiraNoob MEU DEEEEUS,2023-04-17 21:43:48+00:00,1648079841122480132
"@LoiraNoob Au au, pra vc tb",2023-04-17 21:43:47+00:00,1648079837599236097
"@LoiraNoob ""de dinheirow money eu nao preciso""",2023-04-17 21:42:50+00:00,1648079595864727553
