full_text,created_at,id
"@BRKsEDU Tá excelente, cara. Faz jus ao clássico que é esse console.",2023-04-24 23:46:33+00:00,1650647448790999040
@BRKsEDU Processinho como você nunca viu!,2023-04-24 22:44:26+00:00,1650631813360959491
"@BRKsEDU E eu que tinha achado que a série ""consoles como você nunca viu"" tinha acabado, que bom voltar com isso!",2023-04-24 22:22:01+00:00,1650626173066530818
@BRKsEDU 10/10,2023-04-24 21:36:47+00:00,1650614791692599296
@BRKsEDU Meu primeiro console.,2023-04-24 20:54:01+00:00,1650604029343399936
@BRKsEDU Vídeo maravilhoso Edu 💜 https://t.co/qFTfVizmz7,2023-04-24 19:38:14+00:00,1650584956521832449
@BRKsEDU Daqui a pouco vou lá conferir!,2023-04-24 18:47:34+00:00,1650572203174289408
@BRKsEDU AINDA FALTAM 4 HORAS PRA EU CHEGAR EM CASA E PODER VER ESSE VIDEO!!! PQ DEUS AINDA FALTA TANTO TEMPO?,2023-04-24 18:08:36+00:00,1650562400414752782
@BRKsEDU Morava em Manaus com ZF. Cheguei a ter 2 caixas de sapato de fitas originais. Lembro que toda vez que ia pra São Paulo sempre levava 1 NES e jogos ou 1 Videocassete...além de Reebok e batatas Pringles 🤣🤣🤣... Final dos anos 80 isso!,2023-04-24 18:02:32+00:00,1650560871205093376
@BRKsEDU Já assisti 😃 quanta nostalgia boa rsr,2023-04-24 17:50:45+00:00,1650557905588846592
"@BRKsEDU ""Hacker que desbloqueou Switch pagará Nintendo pelo resto da vida""",2023-04-24 17:25:13+00:00,1650551479814565902
@BRKsEDU Como você? 😳😳😳,2023-04-24 17:06:19+00:00,1650546723700322305
@BRKsEDU Bons tempos!,2023-04-24 16:58:02+00:00,1650544642029498378
@BRKsEDU Eu fascinado com o vídeo... https://t.co/0bVoJ9t1kH,2023-04-24 16:28:33+00:00,1650537220263096324
