full_text,created_at,id
@cellbit @Quackity Eu nesse exato momento https://t.co/UhbIdMhaJn,2023-04-29 13:20:19+00:00,1652301789557866496
@cellbit @Quackity CELLBO VOCÊ É TÃO MITUDO VOCÊ É TÃO LENDA OBRIGADO POR ACEITAR OBRIGADO OBRIGADO,2023-04-29 13:08:55+00:00,1652298919462723586
@cellbit @Quackity Vai lá é arrasa eles cabeludo,2023-04-29 12:53:31+00:00,1652295044840185856
@cellbit @Quackity oi,2023-04-29 12:50:19+00:00,1652294241148628992
@cellbit @Quackity tchau,2023-04-29 12:50:09+00:00,1652294198828183553
@cellbit @Quackity Omg Cellbit from enigma of fear,2023-04-29 12:48:17+00:00,1652293726331457536
@cellbit @Quackity Oque o cellbit tá fazendo aqui ??????,2023-04-29 12:44:40+00:00,1652292816540692483
@cellbit @Quackity fdm,2023-04-29 12:30:51+00:00,1652289341245337600
@cellbit @Quackity Lembrou a senha do seu tt Cell??,2023-04-29 12:28:32+00:00,1652288758975197186
@cellbit @Quackity Cellbit... vc N deixa de ser sábado 1 segundo se quer,2023-04-29 12:19:37+00:00,1652286513885921280
@cellbit @Quackity OIIIII,2023-04-29 12:01:58+00:00,1652282071782391814
@cellbit @Quackity RAFAEL LANGEEEEEEEEEEEEEEEE https://t.co/8G8NtvhBFU,2023-04-29 11:50:17+00:00,1652279130816225280
@cellbit @GHOSTBURFAV @Quackity OI LINDO ORGULHO DE VC,2023-04-29 11:38:03+00:00,1652276051014238209
@cellbit @Quackity 😭😭😭😭😭😭,2023-04-29 11:36:49+00:00,1652275743852752897
"@cellbit @Quackity Cellbit
Transforme isso na saga da casinha atualizado 2023 por favor.",2023-04-29 11:21:06+00:00,1652271789286780929
"@cellbit @Quackity olá, tá bem?",2023-04-29 11:12:22+00:00,1652269590485901315
@cellbit @Quackity @FreiraSafada,2023-04-29 10:58:46+00:00,1652266168806260737
@cellbit @Quackity OI NE RAFAEL,2023-04-29 09:56:13+00:00,1652250424869527552
"@cellbit @Quackity cellbit assassino matou, morreu e reviveu pra participar disso",2023-04-29 09:52:01+00:00,1652249367502266368
@cellbit @Quackity Oiiiiii,2023-04-29 09:30:52+00:00,1652244046117519361
@cellbit @Quackity vou te fazer é um exposed seu canalha https://t.co/4nuOai9Mr7,2023-04-29 06:32:26+00:00,1652199143723393025
@cellbit @Quackity GG CELBO https://t.co/A1SBUY3zaK,2023-04-29 06:31:35+00:00,1652198929285390336
@cellbit @Quackity Faz teu jogo aí,2023-04-29 06:17:26+00:00,1652195365519597571
@cellbit @Quackity Dê seu lugar ao vini13,2023-04-29 05:25:34+00:00,1652182313151741952
@cellbit @Quackity Acredito,2023-04-29 05:10:16+00:00,1652178465003655168
@cellbit @Quackity Se tu pegar um fone estourado e der sua risada vai ser mais nostalgico ainda https://t.co/w7GA8purkE,2023-04-29 04:50:11+00:00,1652173410372296704
@cellbit @Quackity QUE ODIO CELLBIT QUE ODIO https://t.co/SxOOxZtmDu,2023-04-29 04:34:11+00:00,1652169383135916034
@cellbit @Quackity oi,2023-04-29 04:21:58+00:00,1652166307016593415
@cellbit @Quackity yo is that the umineko guy?,2023-04-29 04:19:10+00:00,1652165604235780096
@cellbit @Quackity Omg hiiii cellbit from the QSMPFINAKMENTE  PORRAAAAAAAAA https://t.co/OwFnDDyGLc,2023-04-29 04:18:04+00:00,1652165328007200769
@cellbit @Quackity OI CELLBIT,2023-04-29 04:08:05+00:00,1652162814566453250
@cellbit @Quackity saga da casinha ta de volta,2023-04-29 03:51:53+00:00,1652158739862962177
@cellbit @Quackity VOCÊ É UM SAFADO!!,2023-04-29 03:50:24+00:00,1652158363931688961
